date;nb_actions;actions;pnl_ouverture_eur;pnl_9h30_eur;pnl_midi_eur;pnl_17h_eur;frais_estimes_eur;pnl_ouverture_net_eur
2026-07-01;2;STLAP.PA+VCT.PA;9,70;2,14;7,36;8,97;2,00;7,70
2026-07-02;2;RF.PA+ATE.PA;-1,32;-10,05;-5,88;3,31;2,00;-3,32
2026-07-03;2;DEC.PA+VRLA.PA;5,67;14,15;21,99;24,05;2,00;3,67
2026-07-06;2;FNAC.PA+BB.PA;-1,56;2,53;3,25;3,37;2,00;-3,56
2026-07-07;2;STMPA.PA+ACA.PA;-15,39;-18,95;-29,36;-43,83;2,00;-17,39
2026-07-08;1;CA.PA;-3,03;-4,24;-4,09;-3,33;1,00;-4,03
2026-07-09;1;GTT.PA;3,61;-4,90;-4,39;-4,39;1,00;2,61
2026-07-10;1;SAN.PA;1,70;2,75;-0,26;-1,31;1,00;0,70
2026-07-13;1;COFA.PA;2,23;2,23;0,32;0,00;1,00;1,23
2026-07-14;1;ATE.PA;0,45;-2,25;-11,70;-3,60;1,00;-0,55
2026-07-15;2;VRLA.PA+LR.PA;-0,48;-7,90;-9,95;-8,26;2,00;-2,48
2026-07-16;2;S30.PA+NK.PA;0,45;-1,41;-17,71;-18,01;2,00;-1,55
2026-07-17;2;IPS.PA+VIRP.PA;0,54;3,11;1,39;-7,90;2,00;-1,46
2026-07-20;1;ORA.PA;-2,28;-2,73;-2,43;0,15;1,00;-3,28
2026-07-21;2;GFC.PA+PLX.PA;-0,96;-6,47;-6,50;-7,08;2,00;-2,96
2026-07-22;1;MAU.PA;11,59;21,95;15,55;13,11;1,00;10,59
2026-07-23;2;NK.PA+VRLA.PA;1,35;-2,90;-15,32;-24,03;2,00;-0,65
2026-07-24;1;FR.PA;-6,40;1,60;-1,60;-11,38;1,00;-7,40
2026-07-27;2;TTE.PA+ACA.PA;-11,66;-11,55;-11,64;-3,74;2,00;-13,66
2026-07-28;1;TFI.PA;4,64;5,71;5,71;0,71;1,00;3,64
2026-07-29;2;PUB.PA+SAF.PA;11,98;2,75;5,81;-0,64;2,00;9,98
2026-07-30;1;ELIOR.PA;-5,58;-0,93;-0,93;-4,65;1,00;-6,58
2026-07-31;2;BEN.PA+NEX.PA;12,92;19,49;16,31;5,77;2,00;10,92
2026-08-03;2;MT.AS+MMT.PA;32,69;30,36;25,66;19,80;2,00;30,69
2026-08-04;2;DBG.PA+COFA.PA;6,24;9,20;9,82;11,67;2,00;4,24
2026-08-05;2;EAPI.PA+S30.PA;11,92;8,35;-13,36;-27,17;2,00;9,92
2026-08-06;2;FNAC.PA+SK.PA;6,15;3,28;1,23;-5,02;2,00;4,15
2026-08-07;2;FNAC.PA+DG.PA;-2,17;-2,17;-2,57;-2,24;2,00;-4,17
2026-08-10;2;VIV.PA+CLARI.PA;-3,20;-5,65;-8,19;-18,71;2,00;-5,20
2026-08-11;2;OVH.PA+ACA.PA;-0,05;8,51;10,14;20,01;2,00;-2,05
2026-08-12;2;OVH.PA+ELIOR.PA;-2,62;-9,40;-17,94;-5,68;2,00;-4,62
2026-08-13;2;ACA.PA+ELIOR.PA;8,19;5,28;7,36;2,80;2,00;6,19
2026-08-14;2;NXI.PA+IPS.PA;2,31;4,65;16,21;12,45;2,00;0,31
2026-08-17;2;UBI.PA+VRLA.PA;-6,48;-11,36;0,65;-3,28;2,00;-8,48
2026-08-18;1;OVH.PA;-2,01;-9,48;-4,02;-13,51;1,00;-3,01
2026-08-19;1;PLX.PA;5,04;5,38;3,70;8,40;1,00;4,04
2026-08-20;2;CLARI.PA+OR.PA;5,04;6,61;2,87;0,18;2,00;3,04
2026-08-21;2;ERF.PA+MAU.PA;-2,24;-1,85;-4,88;-9,63;2,00;-4,24
2026-08-24;2;ALTA.PA+APAM.AS;5,23;-0,36;3,81;-0,30;2,00;3,23
2026-08-25;1;CLARI.PA;5,49;5,74;2,75;2,75;1,00;4,49
2026-08-27;2;NK.PA+VLTSA.PA;42,31;36,33;23,37;10,73;2,00;40,31
2026-08-28;2;ATE.PA+RNO.PA;8,07;0,60;-0,65;10,27;2,00;6,07
2026-08-31;2;ELIS.PA+BNP.PA;16,09;19,07;16,64;13,81;2,00;14,09
